date,ad_product_category,region,ad_placement,industry,impressions,cpm,customer_id,account_id,revenue
2018-08-20,A,One,Alpha,A,107376,4.213426392,88898631746624307200,2336.0,452.4208722673919
2018-08-20,A,Two,Alpha,D,6503,2.7880105605,40012851266626502656,2060.0,18.1304326749315
2018-08-20,A,Two,Alpha,A,24270,6.671991636,20136017986630598656,2216.0,161.92923700572
2018-08-20,A,Two,Beta,A,39,1.6923076923,59554744386631401472,143.0,0.0659999999997
2018-08-20,A,Two,Alpha,A,295304,3.967945824,86869534786620194816,2214.0,1171.750273610496
2018-08-20,A,One,Alpha,A,44608,2.2049313951,32402841666634600448,2371.0,98.3575796726208
2018-08-20,A,Two,Beta,A,73190,0.8502291864,62330521666629500928,143.0,62.228274152616
2018-08-20,A,Two,Beta,A,210,6.346153845,48186961986613903360,140.0,1.3326923074500001
2018-08-20,A,Two,Alpha,A,5027,2.4930681132,88066775096602492928,1356.0,12.5326534050564
2018-08-20,A,Two,Beta,A,3577,1.3695652173,65453168696634703872,2376.0,4.8989347822821
2018-08-20,A,Two,Beta,B,396158,2.5395138744,62064189546546003968,709.0,1006.0487374545551
2018-08-20,A,One,Alpha,A,331116,6.880578213,67361976376639496192,2640.0,2278.269535575708
2018-08-20,A,Two,Beta,A,25903,2.2041174405,70138531936513400832,2110.0,57.0932540612715
2018-08-20,A,Two,Beta,A,66,1.0153846155,56369510466612502528,1544.0,0.06701538462299998
2018-08-20,A,Four,Beta,B,10392033,2.4329089155,0,0.0,25282.869735870212
2018-08-20,A,Two,Beta,D,442,4.520547945,40012851266626502656,2060.0,1.99808219169
2018-08-20,A,One,Beta,B,318119,2.8839180999,86528403941086494720,2242.0,917.4291420220881
2018-08-20,A,Two,Alpha,A,36727,4.248989357999999,5893079106628459520,143.0,156.05263215126598
2018-08-20,A,Two,Alpha,A,191057,4.627658394,78392760376625397760,140.0,884.146529782458
2018-08-20,A,Two,Alpha,A,193246,10.421406657,1633658946634319872,2218.0,2013.8951508386222
2018-08-20,A,Two,Alpha,A,43264,3.432813522,69776947256609898496,143.0,148.517244215808
2018-08-20,A,Two,Alpha,A,2428,0.7412645592,56369510466612502528,1544.0,1.7997903497376
2018-08-20,A,Two,Beta,A,124,7.243902438,2548326466621689856,2218.0,0.898243902312
2018-08-20,A,Two,Beta,A,755,0.0,60429363306514096128,333.0,0.0
2018-08-20,A,Two,Alpha,A,38101,2.9112501324,7167836216593189888,1191.0,110.9215412945724
2018-08-20,A,Two,Alpha,A,1534,3.9756418710000005,54960414776621400064,186.0,6.098634630114001
2018-08-20,A,Three,Alpha,A,89413,5.325298212,2108887106633270016,2262.0,476.150889029556
2018-08-20,A,Two,Alpha,A,45898,4.4201874839999995,33245020216609898496,143.0,202.87776514063196
2018-08-20,A,Three,Beta,A,6822,4.954397394,2108887106633270016,2262.0,33.798899021867996
2018-08-20,A,Two,Alpha,A,214013,4.458785997,24929013856555298816,141.0,954.238167575961
2018-08-20,A,Two,Alpha,B,1265,2.1248362619999996,97131294816545292288,728.0,2.68791787143
2018-08-21,A,Two,Alpha,A,96424,2.1482889735,70138531936513400832,2110.0,207.146615980764
2018-08-21,A,Two,Beta,B,981,3.126673533,97131294816545292288,728.0,3.067266735873
2018-08-21,A,Two,Beta,A,20483,4.349556213,57207572576581697536,947.0,89.091959910879
2018-08-21,A,Two,Beta,A,94,5.677419354,59554744386631401472,143.0,0.533677419276
2018-08-21,A,Two,Alpha,F,1421,0.6567164178,17054699576641699840,2725.0,0.9331940296937999
2018-08-21,A,Two,Alpha,E,19244,4.4045032289999995,85382994016558694400,1256.0,84.76026013887599
2018-08-21,A,Two,Beta,A,619,4.199021208,86869534786620194816,2214.0,2.5991941277519994
2018-08-21,A,Two,Beta,A,611,2.1818181819,5893079106628459520,143.0,1.3330909091409
2018-08-21,A,Two,Beta,A,1418,0.7286324787,56232765496604999680,1403.0,1.0332008547966
2018-08-21,A,One,Alpha,A,134542,6.023286539999999,88898631746624307200,2336.0,810.3850176646799
2018-08-21,A,Three,Beta,A,6160,6.076242006000001,2108887106633270016,2262.0,37.42965075696001
2018-08-21,A,Two,Alpha,A,7768,2.927135613,38635817016633901056,2316.0,22.737989441784002
2018-08-21,A,Two,Alpha,A,438192,7.043375838,82072197186618802176,2216.0,3086.350945204896
2018-08-21,A,Two,Alpha,A,82712,4.296411171,57207572576581697536,947.0,355.364760775752
